2024-02-12 21:46:38,716 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_01_H.wav
2024-02-12 21:46:38,716 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_01_H.wav
2024-02-12 21:46:38,716 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_01_H.wav
2024-02-12 21:46:38,716 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_01_L.wav
2024-02-12 21:46:38,717 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_01_L.wav
2024-02-12 21:46:38,717 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_01_L.wav
2024-02-12 21:46:38,717 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_02_H.wav
2024-02-12 21:46:38,717 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_02_H.wav
2024-02-12 21:46:38,717 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_02_H.wav
2024-02-12 21:46:38,717 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_02_L.wav
2024-02-12 21:46:38,717 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_02_L.wav
2024-02-12 21:46:38,717 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_02_L.wav
2024-02-12 21:46:38,717 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_03_H.wav
2024-02-12 21:46:38,717 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_03_H.wav
2024-02-12 21:46:38,717 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_03_H.wav
2024-02-12 21:46:38,717 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_03_L.wav
2024-02-12 21:46:38,717 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_03_L.wav
2024-02-12 21:46:38,717 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_03_L.wav
2024-02-12 21:46:38,717 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_04_H.wav
2024-02-12 21:46:38,718 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_04_H.wav
2024-02-12 21:46:38,718 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_04_H.wav
2024-02-12 21:46:38,718 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_04_L.wav
2024-02-12 21:46:38,718 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_04_L.wav
2024-02-12 21:46:38,718 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_04_L.wav
2024-02-12 21:46:38,718 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_05_H.wav
2024-02-12 21:46:38,718 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_05_H.wav
2024-02-12 21:46:38,718 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_05_H.wav
2024-02-12 21:46:38,718 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_05_L.wav
2024-02-12 21:46:38,718 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_05_L.wav
2024-02-12 21:46:38,718 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_05_L.wav
2024-02-12 21:46:38,718 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_06_H.wav
2024-02-12 21:46:38,718 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_06_H.wav
2024-02-12 21:46:38,718 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_06_H.wav
2024-02-12 21:46:38,718 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_06_L.wav
2024-02-12 21:46:38,718 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_06_L.wav
2024-02-12 21:46:38,719 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_06_L.wav
2024-02-12 21:46:38,719 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_07_H.wav
2024-02-12 21:46:38,719 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_07_H.wav
2024-02-12 21:46:38,719 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_07_H.wav
2024-02-12 21:46:38,719 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_07_L.wav
2024-02-12 21:46:38,719 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_07_L.wav
2024-02-12 21:46:38,719 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_07_L.wav
2024-02-12 21:46:38,719 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_08_H.wav
2024-02-12 21:46:38,719 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_08_H.wav
2024-02-12 21:46:38,719 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_08_H.wav
2024-02-12 21:46:38,719 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_08_L.wav
2024-02-12 21:46:38,719 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_08_L.wav
2024-02-12 21:46:38,719 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_08_L.wav
2024-02-12 21:46:38,720 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_09_H.wav
2024-02-12 21:46:38,720 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_09_H.wav
2024-02-12 21:46:38,720 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_09_H.wav
2024-02-12 21:46:38,720 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_09_L.wav
2024-02-12 21:46:38,720 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_09_L.wav
2024-02-12 21:46:38,720 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_09_L.wav
2024-02-12 21:46:38,720 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_10_H.wav
2024-02-12 21:46:38,720 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_10_H.wav
2024-02-12 21:46:38,720 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_10_H.wav
2024-02-12 21:46:38,720 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_10_L.wav
2024-02-12 21:46:38,720 - root - INFO - get_person 		 - SUCCESS for: 01_M_A_10_L.wav
2024-02-12 21:46:38,720 - root - INFO - get_type 		 - SUCCESS for: 01_M_A_10_L.wav
2024-02-12 21:46:38,720 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_01_H.wav
2024-02-12 21:46:38,720 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_01_L.wav
2024-02-12 21:46:38,720 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_02_H.wav
2024-02-12 21:46:38,720 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_02_L.wav
2024-02-12 21:46:38,721 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_03_H.wav
2024-02-12 21:46:38,721 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_03_L.wav
2024-02-12 21:46:38,721 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_04_H.wav
2024-02-12 21:46:38,721 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_04_L.wav
2024-02-12 21:46:38,721 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_05_H.wav
2024-02-12 21:46:38,721 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_05_L.wav
2024-02-12 21:46:38,721 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_06_H.wav
2024-02-12 21:46:38,721 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_06_L.wav
2024-02-12 21:46:38,721 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_07_H.wav
2024-02-12 21:46:38,721 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_07_L.wav
2024-02-12 21:46:38,721 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_08_H.wav
2024-02-12 21:46:38,721 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_08_L.wav
2024-02-12 21:46:38,721 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_09_H.wav
2024-02-12 21:46:38,721 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_09_L.wav
2024-02-12 21:46:38,721 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_10_H.wav
2024-02-12 21:46:38,721 - root - INFO - get_type 		 - SUCCESS for: 01_M_I_10_L.wav
2024-02-12 21:46:38,722 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_01_H.wav
2024-02-12 21:46:38,722 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_01_H.wav
2024-02-12 21:46:38,722 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_01_H.wav
2024-02-12 21:46:38,722 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_01_L.wav
2024-02-12 21:46:38,722 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_01_L.wav
2024-02-12 21:46:38,722 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_01_L.wav
2024-02-12 21:46:38,722 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_02_H.wav
2024-02-12 21:46:38,722 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_02_H.wav
2024-02-12 21:46:38,722 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_02_H.wav
2024-02-12 21:46:38,722 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_02_L.wav
2024-02-12 21:46:38,722 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_02_L.wav
2024-02-12 21:46:38,722 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_02_L.wav
2024-02-12 21:46:38,722 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_03_H.wav
2024-02-12 21:46:38,722 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_03_H.wav
2024-02-12 21:46:38,722 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_03_H.wav
2024-02-12 21:46:38,722 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_03_L.wav
2024-02-12 21:46:38,722 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_03_L.wav
2024-02-12 21:46:38,723 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_03_L.wav
2024-02-12 21:46:38,723 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_04_H.wav
2024-02-12 21:46:38,723 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_04_H.wav
2024-02-12 21:46:38,723 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_04_H.wav
2024-02-12 21:46:38,723 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_04_L.wav
2024-02-12 21:46:38,723 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_04_L.wav
2024-02-12 21:46:38,723 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_04_L.wav
2024-02-12 21:46:38,723 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_05_H.wav
2024-02-12 21:46:38,723 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_05_H.wav
2024-02-12 21:46:38,723 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_05_H.wav
2024-02-12 21:46:38,723 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_05_L.wav
2024-02-12 21:46:38,723 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_05_L.wav
2024-02-12 21:46:38,723 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_05_L.wav
2024-02-12 21:46:38,723 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_06_H.wav
2024-02-12 21:46:38,723 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_06_H.wav
2024-02-12 21:46:38,723 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_06_H.wav
2024-02-12 21:46:38,723 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_06_L.wav
2024-02-12 21:46:38,724 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_06_L.wav
2024-02-12 21:46:38,724 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_06_L.wav
2024-02-12 21:46:38,724 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_07_H.wav
2024-02-12 21:46:38,724 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_07_H.wav
2024-02-12 21:46:38,724 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_07_H.wav
2024-02-12 21:46:38,724 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_07_L.wav
2024-02-12 21:46:38,724 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_07_L.wav
2024-02-12 21:46:38,724 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_07_L.wav
2024-02-12 21:46:38,724 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_08_H.wav
2024-02-12 21:46:38,724 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_08_H.wav
2024-02-12 21:46:38,724 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_08_H.wav
2024-02-12 21:46:38,724 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_08_L.wav
2024-02-12 21:46:38,724 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_08_L.wav
2024-02-12 21:46:38,724 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_08_L.wav
2024-02-12 21:46:38,724 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_09_H.wav
2024-02-12 21:46:38,724 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_09_H.wav
2024-02-12 21:46:38,724 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_09_H.wav
2024-02-12 21:46:38,725 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_09_L.wav
2024-02-12 21:46:38,725 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_09_L.wav
2024-02-12 21:46:38,725 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_09_L.wav
2024-02-12 21:46:38,725 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_10_H.wav
2024-02-12 21:46:38,725 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_10_H.wav
2024-02-12 21:46:38,725 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_10_H.wav
2024-02-12 21:46:38,725 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_10_L.wav
2024-02-12 21:46:38,725 - root - INFO - get_person 		 - SUCCESS for: 01_M_Q_10_L.wav
2024-02-12 21:46:38,725 - root - INFO - get_type 		 - SUCCESS for: 01_M_Q_10_L.wav
2024-02-12 21:46:38,725 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_01_L.wav
2024-02-12 21:46:38,725 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_02_L.wav
2024-02-12 21:46:38,725 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_03_L.wav
2024-02-12 21:46:38,725 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_04_L.wav
2024-02-12 21:46:38,725 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_05_L.wav
2024-02-12 21:46:38,725 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_06_L.wav
2024-02-12 21:46:38,726 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_07_L.wav
2024-02-12 21:46:38,726 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_08_L.wav
2024-02-12 21:46:38,726 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_09_L.wav
2024-02-12 21:46:38,726 - root - INFO - get_type 		 - SUCCESS for: 01_M_S_10_L.wav
2024-02-12 21:46:38,726 - root - INFO - get_type 		 - SUCCESS for: 03_M_A_01_L.wav
2024-02-12 21:46:38,726 - root - INFO - get_person 		 - SUCCESS for: 03_M_A_01_L.wav
2024-02-12 21:46:38,726 - root - INFO - get_type 		 - SUCCESS for: 03_M_A_01_L.wav
2024-02-12 21:46:38,726 - root - INFO - get_type 		 - SUCCESS for: 03_M_A_02_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_person 		 - SUCCESS for: 03_M_A_02_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_type 		 - SUCCESS for: 03_M_A_02_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_type 		 - SUCCESS for: 03_M_A_03_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_person 		 - SUCCESS for: 03_M_A_03_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_type 		 - SUCCESS for: 03_M_A_03_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_type 		 - SUCCESS for: 03_M_I_01_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_type 		 - SUCCESS for: 03_M_I_02_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_type 		 - SUCCESS for: 03_M_I_03_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_type 		 - SUCCESS for: 03_M_Q_01_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_person 		 - SUCCESS for: 03_M_Q_01_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_type 		 - SUCCESS for: 03_M_Q_01_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_type 		 - SUCCESS for: 03_M_Q_02_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_person 		 - SUCCESS for: 03_M_Q_02_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_type 		 - SUCCESS for: 03_M_Q_02_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_type 		 - SUCCESS for: 03_M_Q_03_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_person 		 - SUCCESS for: 03_M_Q_03_L.wav
2024-02-12 21:46:38,727 - root - INFO - get_type 		 - SUCCESS for: 03_M_Q_03_L.wav
2024-02-12 21:46:38,728 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_01.wav
2024-02-12 21:46:38,728 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_02.wav
2024-02-12 21:46:38,728 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_03.wav
2024-02-12 21:46:38,728 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_04.wav
2024-02-12 21:46:38,728 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_05.wav
2024-02-12 21:46:38,728 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_06.wav
2024-02-12 21:46:38,728 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_07.wav
2024-02-12 21:46:38,728 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_08.wav
2024-02-12 21:46:38,728 - root - INFO - get_type 		 - SUCCESS for: 03_M_S_09.wav
2024-02-12 21:46:38,728 - root - INFO - get_type 		 - SUCCESS for: 07_M_A_01_L.wav
2024-02-12 21:46:38,728 - root - INFO - get_person 		 - SUCCESS for: 07_M_A_01_L.wav
2024-02-12 21:46:38,728 - root - INFO - get_type 		 - SUCCESS for: 07_M_A_01_L.wav
2024-02-12 21:46:38,728 - root - INFO - get_type 		 - SUCCESS for: 07_M_A_02_L.wav
2024-02-12 21:46:38,728 - root - INFO - get_person 		 - SUCCESS for: 07_M_A_02_L.wav
2024-02-12 21:46:38,728 - root - INFO - get_type 		 - SUCCESS for: 07_M_A_02_L.wav
2024-02-12 21:46:38,728 - root - INFO - get_type 		 - SUCCESS for: 07_M_A_03_L.wav
2024-02-12 21:46:38,728 - root - INFO - get_person 		 - SUCCESS for: 07_M_A_03_L.wav
2024-02-12 21:46:38,729 - root - INFO - get_type 		 - SUCCESS for: 07_M_A_03_L.wav
2024-02-12 21:46:38,729 - root - INFO - get_type 		 - SUCCESS for: 07_M_I_01_L.wav
2024-02-12 21:46:38,729 - root - INFO - get_type 		 - SUCCESS for: 07_M_I_02_L.wav
2024-02-12 21:46:38,729 - root - INFO - get_type 		 - SUCCESS for: 07_M_I_03_L.wav
2024-02-12 21:46:38,729 - root - INFO - get_type 		 - SUCCESS for: 07_M_Q_01_L.wav
2024-02-12 21:46:38,729 - root - INFO - get_person 		 - SUCCESS for: 07_M_Q_01_L.wav
2024-02-12 21:46:38,729 - root - INFO - get_type 		 - SUCCESS for: 07_M_Q_01_L.wav
2024-02-12 21:46:38,729 - root - INFO - get_type 		 - SUCCESS for: 07_M_Q_02_L.wav
2024-02-12 21:46:38,729 - root - INFO - get_person 		 - SUCCESS for: 07_M_Q_02_L.wav
2024-02-12 21:46:38,729 - root - INFO - get_type 		 - SUCCESS for: 07_M_Q_02_L.wav
2024-02-12 21:46:38,729 - root - INFO - get_type 		 - SUCCESS for: 07_M_Q_03_L.wav
2024-02-12 21:46:38,729 - root - INFO - get_person 		 - SUCCESS for: 07_M_Q_03_L.wav
2024-02-12 21:46:38,729 - root - INFO - get_type 		 - SUCCESS for: 07_M_Q_03_L.wav
2024-02-12 21:46:38,729 - root - INFO - get_type 		 - SUCCESS for: 07_M_S_01.wav
2024-02-12 21:46:38,729 - root - INFO - get_type 		 - SUCCESS for: 07_M_S_02.wav
2024-02-12 21:46:38,730 - root - INFO - get_type 		 - SUCCESS for: 07_M_S_03.wav
2024-02-12 21:46:38,730 - root - INFO - get_type 		 - SUCCESS for: 07_M_S_04.wav
2024-02-12 21:46:38,730 - root - INFO - get_type 		 - SUCCESS for: 07_M_S_05.wav
